position_id,game_id,ply_index,fullmove_number,side_to_move,player_elo,white_elo,black_elo,white,black,fen,actual_move_uci,actual_move_san,high_complexity,complexity_score,image_path,inference_status,elo_bucket_start,elo_bucket_label,maia_rank,maia_probability,maia_covered,maia_hit_at_1,maia_hit_at_3,maia_hit_at_5,stockfish_rank_found,stockfish_rank_clipped,stockfish_topk,stockfish_score_text,stockfish_covered,stockfish_hit_at_1,stockfish_hit_at_3,stockfish_hit_at_5
55UlGeb9_ply_19,55UlGeb9,19,10,black,1096,1115,1096,mianfo,rafamoraes82,r1bqkb1r/5ppp/p3pn2/np1pN3/3P4/1BN5/PPP2PPP/R1BQ1RK1 b kq - 3 10,a5b3,Nxb3,True,16,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/55UlGeb9_ply_19.png,success,1000,1000-1099,1,0.5423,True,True,True,True,6,6,20,-0.27,True,False,False,False
55UlGeb9_ply_21,55UlGeb9,21,11,black,1096,1115,1096,mianfo,rafamoraes82,r1bqkb1r/5ppp/p3pn2/1p1pN3/3P4/1PN5/1PP2PPP/R1BQ1RK1 b kq - 0 11,c8b7,Bb7,True,21,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/55UlGeb9_ply_21.png,success,1000,1000-1099,2,0.1632,True,False,True,True,1,1,20,-0.31,True,True,True,True
55UlGeb9_ply_23,55UlGeb9,23,12,black,1096,1115,1096,mianfo,rafamoraes82,r2qkb1r/1b3ppp/p3pn2/1p1pN1B1/3P4/1PN5/1PP2PPP/R2Q1RK1 b kq - 2 12,b5b4,b4,True,31,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/55UlGeb9_ply_23.png,success,1000,1000-1099,5,0.0333,True,False,False,True,12,12,20,-1.00,True,False,False,False
55UlGeb9_ply_25,55UlGeb9,25,13,black,1096,1115,1096,mianfo,rafamoraes82,r2qkb1r/1b3ppp/p3pn2/3pN1B1/Np1P4/1P6/1PP2PPP/R2Q1RK1 b kq - 1 13,f8e7,Be7,True,29,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/55UlGeb9_ply_25.png,success,1000,1000-1099,1,0.4421,True,True,True,True,3,3,20,-0.85,True,False,True,True
55UlGeb9_ply_27,55UlGeb9,27,14,black,1096,1115,1096,mianfo,rafamoraes82,r2qk2r/1b2bppp/p3pn2/3pN1B1/Np1P4/1PP5/1P3PPP/R2Q1RK1 b kq - 0 14,a6a5,a5,True,27,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/55UlGeb9_ply_27.png,success,1000,1000-1099,3,0.1298,True,False,True,True,4,4,20,-1.10,True,False,False,True
55UlGeb9_ply_29,55UlGeb9,29,15,black,1096,1115,1096,mianfo,rafamoraes82,r2qk2r/1b2bppp/4pn2/p2pN1B1/NpPP4/1P6/1P3PPP/R2Q1RK1 b kq - 0 15,e8g8,O-O,True,32,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/55UlGeb9_ply_29.png,success,1000,1000-1099,1,0.3636,True,True,True,True,3,3,20,-1.23,True,False,True,True
55UlGeb9_ply_31,55UlGeb9,31,16,black,1096,1115,1096,mianfo,rafamoraes82,r2q1rk1/1b2bppp/4pB2/p2pN3/NpPP4/1P6/1P3PPP/R2Q1RK1 b - - 0 16,e7f6,Bxf6,True,13,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/55UlGeb9_ply_31.png,success,1000,1000-1099,1,0.988,True,True,True,True,2,2,20,+0.35,True,False,True,True
55UlGeb9_ply_33,55UlGeb9,33,17,black,1096,1115,1096,mianfo,rafamoraes82,r2q1rk1/1b3ppp/4pb2/p1NpN3/1pPP4/1P6/1P3PPP/R2Q1RK1 b - - 1 17,d8c7,Qc7,True,31,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/55UlGeb9_ply_33.png,success,1000,1000-1099,1,0.2478,True,True,True,True,7,7,20,-0.77,True,False,False,False
55UlGeb9_ply_35,55UlGeb9,35,18,black,1096,1115,1096,mianfo,rafamoraes82,r4rk1/1bq2ppp/4pb2/p1NPN3/1p1P4/1P6/1P3PPP/R2Q1RK1 b - - 0 18,f6e5,Bxe5,True,28,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/55UlGeb9_ply_35.png,success,1000,1000-1099,3,0.0869,True,False,True,True,1,1,20,+2.65,True,True,True,True
55UlGeb9_ply_37,55UlGeb9,37,19,black,1096,1115,1096,mianfo,rafamoraes82,r4rk1/1Nq2ppp/4p3/p2Pb3/1p1P4/1P6/1P3PPP/R2Q1RK1 b - - 0 19,c7b7,Qxb7,False,4,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/55UlGeb9_ply_37.png,success,1000,1000-1099,2,0.0578,True,False,True,True,3,3,20,+0.11,True,False,True,True
